company_name,contact_name,country,linkedin_website,email,phone,whatsapp,website,industry,What_they_do,Why_they_need_BLIIOT
"Agora Automation (Pty)Ltd","","South Africa","https://www.linkedin.com/company/agora-automation/","mike@agora-automation.co.za","+27823637667","+27823637667","https://agora-automation.co.za","SCADA / PLC / Industrial Control","Industrial automation system integrator based in N4 Gateway Industrial Park, Pretoria. Specializes in PLC programming, SCADA systems, and industrial control solutions for manufacturing and process industries across South Africa.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"PCMP PTY LTD","","South Africa","https://www.linkedin.com/company/pcmp-pty-ltd/","contact@pcmp.co.za","+27104499679","+27104499679","https://pcmp.co.za","SCADA / PLC / Industrial Control","Electrical engineering firm specializing in industrial automation, electrical design, and control systems. Based in Princess Industrial Estate, Johannesburg. Provides engineering solutions to mining, manufacturing, and utilities sectors.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Systems Automation & Management","","South Africa","","","","+27118030570","","SCADA / PLC / Industrial Control","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
"Process Dynamics (Pty) Ltd","","South Africa","https://www.linkedin.com/company/process-dynamics/","","+27113945412","+27113945412","https://process-dynamics.co.za","SCADA / PLC / Industrial Control","Leading process automation system integrator based in Johannesburg. Specializes in PLC/DCS/SCADA integration, process control solutions for food & beverage, chemical, and manufacturing industries.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Elan Systems South Africa","","South Africa","","","","+27861352647","","System Integration","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
"INTEG System Integrators","","South Africa","https://www.linkedin.com/company/integ-system-integrators/","info@integ.co.za","+27218500320","+27218500320","https://integ.co.za","SCADA / PLC / Industrial Control","Cape Town-based system integrator. Provides industrial automation, control systems integration, and software solutions to manufacturing and industrial clients. Perfect 5.0 rating.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"SyncSystems Automation","","South Africa","","","","+27100260101","","SCADA / PLC / Industrial Control","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
"Elonics Industrial Automation","","South Africa","","","","+27317026242","","System Integration","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
"Emenem Industrial","","South Africa","","","","+27825708093","","SCADA / PLC / Industrial Control","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
"Rockwell Automation SA","","South Africa","https://www.linkedin.com/company/rockwell-automation/","","","+27119981000","","SCADA / PLC / Industrial Control","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
"Lambda Automation","","South Africa","","","","+27129402920","","SCADA / PLC / Industrial Control","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
"CraigCor Distribution","","South Africa","https://www.linkedin.com/company/craigcor/","","","+27115745300","","System Integration","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
"PBSA - Smart Automation","","South Africa","","","","+27115169400","","SCADA / PLC / Industrial Control","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
"MH AUTOMATION","","South Africa","https://www.linkedin.com/company/mh-automation/","","","+27115480600","","SCADA / PLC / Industrial Control","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
"Industrial Design Simulation & Automation Services Ltd","","Nigeria","https://www.linkedin.com/company/idsasl/","","","+2348025774193","","System Integration","Powertel Zimbabwe appears on Google Maps as a Telecom/SmartGrid - Existing Partner in Zimbabwe. The lead was collected from a search related to system integrator Zimbabwe, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
