name,country,rating,leadType,phone,domain,officialEmails,linkedinUrls,whatsappNumbers,fitScore,inferredNeeds,recommendedProducts,desc
"Agora Automation (Pty)Ltd","South Africa","5","Automation Company","+27823637667","agora-automation.co.za","mike@agora-automation.co.za","https://www.linkedin.com/company/agora-automation/","+27823637667","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; IIoT platform connectivity and field data access","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Industrial automation system integrator based in N4 Gateway Industrial Park, Pretoria. Specializes in PLC programming, SCADA systems, and industrial control solutions for manufacturing and process industries across South Africa."
"PCMP PTY LTD","South Africa","4.9","Electrical Engineer","+27104499679","pcmp.co.za","contact@pcmp.co.za","https://www.linkedin.com/company/pcmp-pty-ltd/; https://kr.linkedin.com/company/pcmp","+27104499679","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Electrical engineering firm specializing in industrial automation, electrical design, and control systems. Based in Princess Industrial Estate, Johannesburg. Provides engineering solutions to mining, manufacturing, and utilities sectors."
"Systems Automation & Management","South Africa","4.5","System Integrator","+27118030570","","","","+27118030570","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Automation and management systems integrator in Gauteng, South Africa. Provides integrated control solutions, PLC programming, and industrial automation services to various industries."
"Process Dynamics (Pty) Ltd","South Africa","4.9","System Integrator","+27113945412","process-dynamics.co.za","","https://www.linkedin.com/company/process-dynamics/; http://www.linkedin.com/company/process-dynamics/?originalSubdomain=za","+27113945412","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Leading process automation system integrator based in Johannesburg. Specializes in PLC/DCS/SCADA integration, process control solutions for food & beverage, chemical, and manufacturing industries."
"Elan Systems South Africa","South Africa","4.8","Home Automation","+27861352647","","","","+27861352647","100","automation gateway and edge integration; energy monitoring and building/utility management; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Building and home automation specialist in Johannesburg. Provides smart home systems, lighting control, security integration, and energy management solutions for residential and commercial buildings."
"INTEG System Integrators","South Africa","5","System Integrator","+27218500320","integ.co.za","info@integ.co.za","https://www.linkedin.com/company/integ-system-integrators/; http://linkedin.com/company/integ-system-integrators/","+27218500320","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; IIoT platform connectivity and field data access","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Cape Town-based system integrator. Provides industrial automation, control systems integration, and software solutions to manufacturing and industrial clients. Perfect 5.0 rating."
"SyncSystems Automation","South Africa","5","System Integrator","+27100260101","","","","+27100260101","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; industrial edge computing hardware","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Industrial automation system integrator based in Johannesburg. Part of Interroll global partner network. Specializes in conveyor and material handling automation solutions."
"Elonics Industrial Automation","South Africa","4.4","Automation Company","+27317026242","","","","+27317026242","100","automation gateway and edge integration; IIoT platform connectivity and field data access; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Durban-based industrial automation and connectivity solutions company. Provides automation products and technical support to industrial clients in KwaZulu-Natal region."
"Emenem Industrial","South Africa","4.9","Automation Company","+27825708093","","","","+27825708093","100","automation gateway and edge integration; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Industrial automation company in Johannesburg. Provides automation solutions, control systems, and industrial equipment to the manufacturing sector. High-rated with 4.9 stars."
"Rockwell Automation SA","South Africa","4.5","Automation Giant","+27119981000","","","https://www.linkedin.com/company/rockwell-automation/","+27119981000","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; IIoT platform connectivity and field data access","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Global automation leader's South Africa office. Provides Allen-Bradley PLCs, industrial automation, and digital transformation solutions. Major player in SA industrial automation market."
"Lambda Automation","South Africa","5","Automation Company","+27129402920","","","","+27129402920","100","automation gateway and edge integration; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Pretoria-based automation company with perfect 5.0 rating. Located in N4 Gateway Industrial Park. Provides industrial automation solutions and control systems."
"CraigCor Distribution","South Africa","4.4","Automation Distribution","+27115745300","","","https://www.linkedin.com/company/craigcor/","+27115745300","100","automation gateway and edge integration; IIoT platform connectivity and field data access; PLC/SCADA connectivity and protocol conversion","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Industrial automation products distributor based in Johannesburg. Distributes automation components and control systems to the Southern African market."
"PBSA - Smart Automation","South Africa","4.7","Automation Company","+27115169400","","","","+27115169400","100","PLC connectivity and industrial protocol conversion; automation gateway and edge integration; industrial edge computing hardware","BLIIOT gateways/routers (R40, BA/BE/BL gateway series); ARMxy edge computers/controllers; Remote IO / RTU / data acquisition modules","Smart automation company based in Kyalami, Johannesburg. Powering businesses through intelligent automation solutions and smart technologies."
