company_name,contact_name,country,linkedin_website,email,phone,whatsapp,website,industry,What_they_do,Why_they_need_BLIIOT
"Core Automation","","Netherlands","","user@domain.com","+31627593130","+31627593130","https://coreautomation.nl","SCADA / PLC / Industrial Control","Intelligent home automation, energy management and control systems. Designed for Home Owners &amp; Professionals. Precision-Engineered, Fully Integrated.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need remote monitoring hardware for distributed equipment, utilities, or telemetry projects."
"Benelux Electric","","Netherlands","","","+31687600185","+31687600185","https://beneluxelectric.com","SCADA / PLC / Industrial Control","Benelux Electric appears on Google Maps as a (1) in Netherlands. The lead was collected from a search related to building automation Amsterdam, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Loxone Netherlands","","Netherlands","","PH-Campus-Outdoor@2x.jpg","+31208208214","+31208208214","https://loxone.com","SCADA / PLC / Industrial Control","LOXONE brengt verlichting, energie, klimaat en veiligheid samen in een alles-in-één gebouwautomatisering – voor gebouwen die gewoon werken.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Sight and Sound Systems","","Netherlands","","gfkN@QgGHRCfMQNVfM.fW","+31208452516","+31208452516","https://sightandsound.nl","SCADA / PLC / Industrial Control","Sight and Sound Systems appears on Google Maps as a (1) in Netherlands. The lead was collected from a search related to building automation Amsterdam, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"HCS Building Automation B.V.","","Netherlands","https://www.linkedin.com/company/3505886/admin/feed/posts/","info@hcs-ba.nl","+31182232655","+31182232655","https://hcs-ba.nl","SCADA / PLC / Industrial Control","HCS Building Automation B.V. appears on Google Maps as a (2) in Netherlands. The lead was collected from a search related to building automation Amsterdam, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Healthy Workers","","Netherlands","https://www.linkedin.com/company/healthy-workers/","info@healthyworkers.com","+31202611555","+31202611555","https://healthyworkers.com","SCADA / PLC / Industrial Control","Healthy Workers appears on Google Maps as a (1) in Netherlands. The lead was collected from a search related to building automation Amsterdam, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Industrial Automation Partners B.V.","","Netherlands","","","+31204472777","+31204472777","","SCADA / PLC / Industrial Control","Industrial Automation Partners B.V. appears on Google Maps as a (3) in Netherlands. The lead was collected from a search related to building automation Amsterdam, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Thinka | HomeKit for Z-Wave and KNX","","Netherlands","","info@thinka.eu","+31202420666","+31202420666","https://thinka.eu","SCADA / PLC / Industrial Control","Thinka is the brain to your smart home KNX system. Control your home with your iPhone, iPad, Apple Watch or voice.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Automation Berlin Kunz GmbH","","Germany","","info@automation-berlin.com","+493093663982","+493093663982","https://automation-berlin.com","SCADA / PLC / Industrial Control","Automation-Berlin Kunz GmbH supplies Siemens spare parts, industrial components and process instrumentation worldwide. Catalogue, availability check and offer for automation technology.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"AiSash","","Germany","https://www.linkedin.com/company/111987209/","kontakt@aisash.de","+491625991856","+491625991856","https://aisash.de","SCADA / PLC / Industrial Control","AiSash: KI-Automatisierung für Handwerksbetriebe in Berlin. Chatbots, Terminbuchung, Rechnungen, Bewertungen — alles automatisch. Von Oleksandr Pistruzhak, TU Berlin.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
