name,country,phone,rating,type,website,place_url,search_keyword,address
"Automation Berlin Kunz GmbH","Germany","+493093663982","5","(6)","http://www.automation-berlin.com/","https://www.google.com/maps/place/Automation+Berlin+Kunz+GmbH/data=!4m7!3m6!1s0x47a84b8725783ff7:0x887fa11b8e0a67b5!8m2!3d52.5630198!4d13.5549299!16s%2Fg%2F11btltf8jl!19sChIJ9z94JYdLqEcRtWcKjhuhf4g?authuser=0&hl=en&rclk=1","industrial automation Berlin","Hellersdorfer Weg 35, 12689 Berlin, Germany"
"Team Automation Berlin GmbH","Germany","+493060902940","4.5","(11)","https://www.team-automation-berlin.de/","https://www.google.com/maps/place/Team+Automation+Berlin+GmbH/data=!4m7!3m6!1s0x47a8500488a567a9:0x9a73510894ffa008!8m2!3d52.4685144!4d13.3721292!16s%2Fg%2F1tf41_95!19sChIJqWeliARQqEcRCKD_lAhRc5o?authuser=0&hl=en&rclk=1","industrial automation Berlin","Alboinstraße 11, 12103 Berlin, Germany"
"AiSash","Germany","+491625991856","5","(3)","https://aisash.de/","https://www.google.com/maps/place/AiSash/data=!4m7!3m6!1s0x47a84f002b90dcdf:0xf525bb93f17e8e00!8m2!3d52.5090077!4d13.4179317!16s%2Fg%2F11y_bnsk6q!19sChIJ39yQKwBPqEcRAI5-8ZO7JfU?authuser=0&hl=en&rclk=1","industrial automation Berlin","Schmidstraße 2K, 10179 Berlin, Germany"
"Interautomation Deutschland GmbH","Germany","+49309160760","4.3","(4)","https://www.interautomation.de/de/","https://www.google.com/maps/place/Interautomation+Deutschland+GmbH/data=!4m7!3m6!1s0x47a853a6dfbd9a6d:0x1ffff78641c97806!8m2!3d52.589965!4d13.3701098!16s%2Fg%2F1tgg8_gf!19sChIJbZq936ZTqEcRBnjJQYb3_x8?authuser=0&hl=en&rclk=1","industrial automation Berlin","Hauptstraße 56-60, 13158 Berlin, Germany"
"i4 Automation & Engineering GmbH","Germany","+491639253985","5","(1)","https://i4ae.de/","https://www.google.com/maps/place/i4+Automation+%26+Engineering+GmbH/data=!4m7!3m6!1s0x47a8532884f8ac5f:0x86df61044221c75d!8m2!3d52.5373909!4d13.3730622!16s%2Fg%2F11l_gyx5y0!19sChIJX6z4hChTqEcRXcchQgRh34Y?authuser=0&hl=en&rclk=1","industrial automation Berlin","Chausseestraße 86, 10115 Berlin, Germany"
"micropsi industries GmbH","Germany","+493055571929","4.6","(10)","http://www.micropsi-industries.com/","https://www.google.com/maps/place/micropsi+industries+GmbH/data=!4m7!3m6!1s0x47a84e053a7ef225:0x3f6d24d0e455685b!8m2!3d52.497989!4d13.3802943!16s%2Fg%2F11bzyqx3q3!19sChIJJfJ-OgVOqEcRW2hV5NAkbT8?authuser=0&hl=en&rclk=1","industrial automation Berlin","Möckernstraße 120, 10963 Berlin, Germany"
"S-Tec Berlin Industrieelektronik GmbH","Germany","+4930364280000","5","(11)","","https://www.google.com/maps/place/S-Tec+Berlin+Industrieelektronik+GmbH/data=!4m7!3m6!1s0x47a8597d7f04d8bd:0x9e7f48eb864e81af!8m2!3d52.4564653!4d13.1359063!16s%2Fg%2F11js3hdrn5!19sChIJvdgEf31ZqEcRr4FOhutIf54?authuser=0&hl=en&rclk=1","industrial automation Berlin","Schwabinger Weg 27, 14089 Berlin, Germany"
"AK Automation | Automatisierung & SPS Berlin","Germany","+4917647755800","5","(3)","https://www.ak-automation.engineer/","https://www.google.com/maps/place/AK+Automation+%7C+Automatisierung+%26+SPS+Berlin/data=!4m7!3m6!1s0x2b29c237551b4f6d:0x567a442a0f8d7d52!8m2!3d52.6361562!4d13.2969823!16s%2Fg%2F11xmd8frrw!19sChIJbU8bVTfCKSsRUn2NDypEelY?authuser=0&hl=en&rclk=1","industrial automation Berlin","Markgrafenstraße 48a, 13465 Berlin, Germany"
"Gestalt Automation GmbH","Germany","+493061651560","5","(8)","http://www.gestalt-automation.com/","https://www.google.com/maps/place/Gestalt+Automation+GmbH/data=!4m7!3m6!1s0x47a85a8573495555:0xd2f24c3bdad980a5!8m2!3d52.4988853!4d13.4491578!16s%2Fg%2F11d_ttvm12!19sChIJVVVJc4VaqEcRpYDZ2jtM8tI?authuser=0&hl=en&rclk=1","industrial automation Berlin","Schlesische Str. 26/C4, 10997 Berlin, Germany"
"Healthy Workers","Netherlands","+31202611555","4","(1)","https://healthyworkers.com/","https://www.google.com/maps/place/Healthy+Workers/data=!4m7!3m6!1s0x47c6096c184f1ebd:0xf790b41bb4e19635!8m2!3d52.371326!4d4.926944!16s%2Fg%2F11s11112ww!19sChIJvR5PGGwJxkcRNZbhtBu0kPc?authuser=0&hl=en&rclk=1","building automation Amsterdam","Oostenburgermiddenstraat 188, 1018 LL Amsterdam, Netherlands"
