company_name,contact_name,country,linkedin_website,email,phone,whatsapp,website,industry,What_they_do,Why_they_need_BLIIOT
"Rockwell Automation de México","","Mexico","https://www.linkedin.com/company/rockwell-automation/","","+525552462000","+27119981000","https://rockwellautomation.com","SCADA / PLC / Industrial Control","Global automation leader's South Africa office. Provides Allen-Bradley PLCs, industrial automation, and digital transformation solutions. Major player in SA industrial automation market.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion. They may need edge connectivity products to collect field data and connect devices to cloud or software platforms."
"Abreu Automação de Portões em Belo Horizonte","","Brazil","","","+553132275090","+553130240132","","SCADA / PLC / Industrial Control","Versão Brasileira Vídeo e Multimídia Ltda appears on Google Maps as a (14) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Automation Security And Services","","Brazil","","comercial@automationsolutions.com.br","+553133149900","+553133149900","https://automationsolutions.com.br","SCADA / PLC / Industrial Control","Automação","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Tecai","","Brazil","","contato@tecai.com.br","+553131411000","+553131411000","https://tecai.com.br","SCADA / PLC / Industrial Control","Conheça a Tecai! Empresa especializada em automação residencial e corporativa, áudio e vídeo. Com tecnologia inovadora, fazemos a instalação sem obra!","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"BH Automação Residencial","","Brazil","","","+5531984587764","+5531984587764","https://bhautomacao.com.br","SCADA / PLC / Industrial Control","BH Automação Residencial appears on Google Maps as a (1) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Live Automação","","Brazil","","","+553133355335","+553133355335","https://liveautomacao.com.br","SCADA / PLC / Industrial Control","Live Automação appears on Google Maps as a (25) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Versão Brasileira Vídeo e Multimídia Ltda","","Brazil","","","+553132275090","+553132275090","","SCADA / PLC / Industrial Control","Versão Brasileira Vídeo e Multimídia Ltda appears on Google Maps as a (14) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"KALATEC AUTOMATION LTD - Branch São Paulo","","Brazil","https://br.linkedin.com/company/kalatec-automacao","","+551155147680","+551155147680","https://kalatec.com.br","SCADA / PLC / Industrial Control","KALATEC AUTOMATION LTD - Branch São Paulo appears on Google Maps as a 5.0 in Brazil. The lead was collected from a search related to automação industrial São Paulo, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Domínio Automação Industrial","","Brazil","","","+553132275090","+551138920956","","SCADA / PLC / Industrial Control","Versão Brasileira Vídeo e Multimídia Ltda appears on Google Maps as a (14) in Brazil. The lead was collected from a search related to building automation Belo Horizonte, so the company is likely active in industrial automation, controls, integration, or adjacent engineering work.","They may need industrial gateways for PLC/SCADA connectivity and protocol conversion."
"Automação 2000","","Brazil","https://www.linkedin.com/company/automacao2000/","contato@automacao.com.br","+551138556100","+551138556100","https://automacao2000.com.br","Industrial Automation / Manufacturing","Desde 1996 atuando no ramo de Automação Comercial, levando soluções personalizadas para seus clientes, oferecendo Sistemas para Food Service","They appear relevant to industrial gateways and routers for industrial communication and monitoring projects."
