name,country,phone,rating,type,website,place_url,search_keyword,address
"KALATEC AUTOMATION LTD - Branch São Paulo","Brazil","+551155147680","5","5.0","https://www.kalatec.com.br/","https://www.google.com/maps/place/KALATEC+AUTOMATION+LTD+-+Branch+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce518e583b9d31:0x53705bee40f118e7!8m2!3d-23.6535006!4d-46.7205171!16s%2Fg%2F11h09v75g!19sChIJMZ07WI5RzpQR5xjxQO5bcFM?authuser=0&hl=en&rclk=1","automação industrial São Paulo","Av. das Nações Unidas, 18801 - 11º andar - Santo Amaro, São Paulo - SP, 04795-100, Brazil"
"ZYCON AUTOMAÇÃO INDUSTRIAL","Brazil","+551131032100","4.3","(12)","http://www.zycon.com.br/","https://www.google.com/maps/place/ZYCON+AUTOMA%C3%87%C3%83O+INDUSTRIAL/data=!4m7!3m6!1s0x94cef636e1e6aa6b:0xcba2e38dd3089757!8m2!3d-23.490833!4d-46.6243811!16s%2Fg%2F1td9fx7b!19sChIJa6rm4Tb2zpQRV5cI043joss?authuser=0&hl=en&rclk=1","automação industrial São Paulo","R. Dr. Zuquim, 1720 - 10° andar - Santana, São Paulo - SP, 02035-022, Brazil"
"Domínio Automação Industrial","Brazil","+551138920956","4.8","(10)","","https://www.google.com/maps/place/Dom%C3%ADnio+Automa%C3%A7%C3%A3o+Industrial/data=!4m7!3m6!1s0x94cef6208bc886bb:0xcfcfbd36c9d63d41!8m2!3d-23.5018141!4d-46.6170016!16s%2Fg%2F1232tnspz!19sChIJu4bIiyD2zpQRQT3WyTa9z88?authuser=0&hl=en&rclk=1","automação industrial São Paulo","Av. Gen. Ataliba Leonel, 1223 - Sala 94 - Santana, São Paulo - SP, 02036-011, Brazil"
"Automação 2000","Brazil","+551138556100","4.8","(35)","http://www.automacao2000.com.br/","https://www.google.com/maps/place/Automa%C3%A7%C3%A3o+2000/data=!4m7!3m6!1s0x94cef7e8c1dec7f1:0xdb338094f40d7468!8m2!3d-23.5062062!4d-46.655012!16s%2Fg%2F1tk6rg5z!19sChIJ8cfewej3zpQRaHQN9JSAM9s?authuser=0&hl=en&rclk=1","automação industrial São Paulo","R. Urbano Duarte, 529 - Casa Verde, São Paulo - SP, 02523-000, Brazil"
"G Tech Automação Industrial LTDA","Brazil","+551135969716","5","(10)","http://gtechautomacao.ind.br/","https://www.google.com/maps/place/G+Tech+Automa%C3%A7%C3%A3o+Industrial+LTDA/data=!4m7!3m6!1s0x94ce5052b70b39bf:0xa91270642c4ce361!8m2!3d-23.6632149!4d-46.7093672!16s%2Fg%2F11h_f6f1b5!19sChIJvzkLt1JQzpQRYeNMLGRwEqk?authuser=0&hl=en&rclk=1","automação industrial São Paulo","R. Benedito Fernandes, 545 - Sala 1015 - Santo Amaro, São Paulo - SP, 04746-110, Brazil"
"Wolf Automation CDMX","Mexico","+525637099414","4.9","(57)","http://www.wolfautomation.mx/","https://www.google.com/maps/place/Wolf+Automation+CDMX/data=!4m7!3m6!1s0x85d1fd4b350ffa4d:0xb8959562f42242d!8m2!3d19.3584355!4d-99.0322971!16s%2Fg%2F11rbyhfghs!19sChIJTfoPNUv90YURLSRCL1ZZiQs?authuser=0&hl=en&rclk=1","industrial automation Mexico City","Plan de Ayala, Ejidos de, Sta María Aztahuacan, Iztapalapa, 09570 Ciudad de México, CDMX, Mexico"
"ROMA AUTOMATION","Mexico","+525557991186","5","(7)","http://www.roma-automation.com.mx/","https://www.google.com/maps/place/ROMA+AUTOMATION/data=!4m7!3m6!1s0x85d1f19c1e022dff:0x13cd3ba7c8afe491!8m2!3d19.4319698!4d-99.1472919!16s%2Fg%2F11fmk765m_!19sChIJ_y0CHpzx0YURkeSvyKc7zRM?authuser=0&hl=en&rclk=1","industrial automation Mexico City","Victoria 106, Colonia Centro, Centro, Cuauhtémoc, 06050 Ciudad de México, CDMX, Mexico"
"Kinemotion Automation","Mexico","+525532241557","5","(1)","https://www.kinemotion-automation.com/","https://www.google.com/maps/place/Kinemotion+Automation/data=!4m7!3m6!1s0xafdf8d00500704c7:0x15f6e18b4ead1885!8m2!3d19.3767613!4d-99.1532098!16s%2Fg%2F11x7mpbrc0!19sChIJxwQHUACN368RhRitTovh9hU?authuser=0&hl=en&rclk=1","industrial automation Mexico City","C. Monte Albán 579, Letran Valle, Benito Juárez, 03650 Ciudad de México, CDMX, Mexico"
"Ingeniería en Automatización y Control S.A de C.V","Mexico","+525555126061","4.7","(87)","http://www.iacsamexico.com.mx/","https://www.google.com/maps/place/Ingenier%C3%ADa+en+Automatizaci%C3%B3n+y+Control+S.A+de+C.V/data=!4m7!3m6!1s0x85d1ff2ac93aaaab:0x782264de7d0848db!8m2!3d19.4321231!4d-99.1471424!16s%2Fg%2F11c2mw_r11!19sChIJq6o6ySr_0YUR20gIfd5kIng?authuser=0&hl=en&rclk=1","industrial automation Mexico City","06050, Victoria 101-local 18, Colonia Centro, Centro, Cuauhtémoc, 06050 Ciudad de México, CDMX, Mexico"
"Automation S.A. de C.V.","Mexico","+5253604679","5","(1)","http://automationsadecv.com/","https://www.google.com/maps/place/Automation+S.A.+de+C.V./data=!4m7!3m6!1s0x85d2031d21ade90f:0x9bdea4e093844689!8m2!3d19.4886247!4d-99.2362109!16s%2Fg%2F11g8p3b47v!19sChIJD-mtIR0D0oURiUaEk-Ck3ps?authuser=0&hl=en&rclk=1","industrial automation Mexico City","53310, Perif. Blvd. Manuel Ávila Camacho 938, Bosques de Echegaray, Naucalpan de Juárez, Méx., Mexico"
"IPA AUTOMATIZACION -Automatización y Neumática industrial SMC.","Mexico","+525536477562","5","(4)","http://www.ipaautomatizacion.com/","https://www.google.com/maps/place/IPA+AUTOMATIZACION+-Automatizaci%C3%B3n+y+Neum%C3%A1tica+industrial+SMC./data=!4m7!3m6!1s0x85ce0286cc2743c7:0x8de91a2e6a0aa08c!8m2!3d19.338853!4d-99.0529145!16s%2Fg%2F11c5t0hckh!19sChIJx0MnzIYCzoURjKAKai4a6Y0?authuser=0&hl=en&rclk=1","industrial automation Mexico City","Pedro Flores, Col. La era, Iztapalapa, 09720 Ciudad de México, CDMX, Mexico"
"Mitsubishi Electric Automation, Inc","Mexico","+525530677500","4.5","(42)","https://mx.mitsubishielectric.com/fa/es/","https://www.google.com/maps/place/Mitsubishi+Electric+Automation,+Inc/data=!4m7!3m6!1s0x85d21d4099b1ba05:0xadb4d342ea10b280!8m2!3d19.4403443!4d-99.2028809!16s%2Fg%2F1td4dxg9!19sChIJBbqxmUAd0oURgLIQ6kLTtK0?authuser=0&hl=en&rclk=1","industrial automation Mexico City","Blvd. Miguel de Cervantes Saavedra, Torre Norte 301, Granada, Miguel Hidalgo, 11520 CDMX, Mexico"
"JM Industrial Technology","Mexico","+525571600129","4.5","(22)","https://www.jmi.com.mx/","https://www.google.com/maps/place/JM+Industrial+Technology/data=!4m7!3m6!1s0x85d1fd8a157810b5:0xd3d493135d711565!8m2!3d19.367253!4d-99.1210357!16s%2Fg%2F1tff3cph!19sChIJtRB4FYr90YURZRVxXROT1NM?authuser=0&hl=en&rclk=1","industrial automation Mexico City","Sur 97-A 638, Sector Popular, Popular, Iztapalapa, 09060 Ciudad de México, CDMX, Mexico"
"Rockwell Automation de México","Mexico","+525552462000","4.8","(29)","http://www.rockwellautomation.com/es_MX/overview.page","https://www.google.com/maps/place/Rockwell+Automation+de+M%C3%A9xico/data=!4m7!3m6!1s0x85d21ce7601f431d:0xdae51197f1a31b3a!8m2!3d19.3597864!4d-99.2712723!16s%2Fg%2F1tdc0_2j!19sChIJHUMfYOcc0oUROhuj8ZcR5do?authuser=0&hl=en&rclk=1","industrial automation Mexico City","Av. Santa Fe 481, Lomas de Santa Fe, Contadero, Cuajimalpa de Morelos, 05349 Ciudad de México, CDMX, Mexico"
"Automatización Industrial S.H.","Argentina","+541159474738","5","(2)","","https://www.google.com/maps/place/Automatizaci%C3%B3n+Industrial+S.H./data=!4m7!3m6!1s0x95bcc9acc8863b8b:0xf1f8f6a1626e7026!8m2!3d-34.6405275!4d-58.505026!16s%2Fg%2F11b8_mvrmp!19sChIJizuGyKzJvJURJnBuYqH2-PE?authuser=0&hl=en&rclk=1","automatización industrial Buenos Aires","Acassuso 5351, C1408 Cdad. Autónoma de Buenos Aires, Argentina"
"INGIA SRL","Argentina","+541177003188","4.7","(132)","http://www.ingia.com.ar/","https://www.google.com/maps/place/INGIA+SRL/data=!4m7!3m6!1s0x95bcb6ebe07f24f9:0x8d2a2fe5f5966930!8m2!3d-34.55296!4d-58.491283!16s%2Fg%2F11c1qcn5bx!19sChIJ-SR_4Ou2vJURMGmW9eUvKo0?authuser=0&hl=en&rclk=1","automatización industrial Buenos Aires","C1430DZA, DZA, Machaín 4337, C1430 Cdad. Autónoma de Buenos Aires, Argentina"
"Ingenia Control SRL - Automatización Industrial","Argentina","+541146697707","5","(1)","http://www.ingenia.com.ar/","https://www.google.com/maps/place/Ingenia+Control+SRL+-+Automatizaci%C3%B3n+Industrial/data=!4m7!3m6!1s0x95bccb4938655b81:0x8da87b0b6f1f4927!8m2!3d-34.6750051!4d-58.3881741!16s%2Fg%2F11bwf6zs80!19sChIJgVtlOEnLvJURJ0kfbwt7qI0?authuser=0&hl=en&rclk=1","automatización industrial Buenos Aires","Perú 1841, B1868CZL Piñeyro, Provincia de Buenos Aires, Argentina"
"Factory Solutions - Automatización y Robótica Industrial","Argentina","+541155331100","5","(1)","https://factorysolutions.com.ar/","https://www.google.com/maps/place/Factory+Solutions+-+Automatizaci%C3%B3n+y+Rob%C3%B3tica+Industrial/data=!4m7!3m6!1s0x95bccbab4bbbe195:0xbd09e543287a5e92!8m2!3d-34.6026483!4d-58.4287046!16s%2Fg%2F11gxy0nv3n!19sChIJleG7S6vLvJURkl56KEPlCb0?authuser=0&hl=en&rclk=1","automatización industrial Buenos Aires","Yatay 798 A, 1184 Cdad. Autónoma de Buenos Aires, Argentina"
"Automación Argentina S.A.","Argentina","+5449186763","4.7","(12)","http://www.automacion.com.ar/","https://www.google.com/maps/place/Automaci%C3%B3n+Argentina+S.A./data=!4m7!3m6!1s0x95bcca4f21dd8e37:0x3763ecad98019eb9!8m2!3d-34.6473791!4d-58.4326114!16s%2Fg%2F1v8j1mpf!19sChIJN47dIU_KvJURuZ4BmK3sYzc?authuser=0&hl=en&rclk=1","automatización industrial Buenos Aires","José Barros Pazos 1857, C1437HDE Cdad. Autónoma de Buenos Aires, Argentina"
"Automatización De Portones - MG AUTOMATIZACIONES","Argentina","+5491165209991","4.8","(17)","","https://www.google.com/maps/place/Automatizaci%C3%B3n+De+Portones+-+MG+AUTOMATIZACIONES/data=!4m7!3m6!1s0x95bcc92c1d579ac5:0xc3797e8baeb806be!8m2!3d-34.6620832!4d-58.5363359!16s%2Fg%2F11j6g14y5k!19sChIJxZpXHSzJvJURvga4rot-ecM?authuser=0&hl=en&rclk=1","automatización industrial Buenos Aires","Av. General Enrique Mosconi 849, B1752 Ramos Mejía, Provincia de Buenos Aires, Argentina"
"A-TECH ""Automatización Industrial""","Argentina","+541177131756","4.2","(5)","http://www.a-tech.com.ar/","https://www.google.com/maps/place/A-TECH+%22Automatizaci%C3%B3n+Industrial%22/data=!4m7!3m6!1s0x95bcb190a98c5a31:0x817276e90c4e95ed!8m2!3d-34.5677267!4d-58.5266429!16s%2Fg%2F11lrhdqfcg!19sChIJMVqMqZCxvJUR7ZVODOl2coE?authuser=0&hl=en&rclk=1","automatización industrial Buenos Aires","Gutiérrez 2060, B1431 Villa Maipú, Provincia de Buenos Aires, Argentina"
"Automatización Norte","Argentina","+541161154659","5","(2)","","https://www.google.com/maps/place/Automatizaci%C3%B3n+Norte/data=!4m7!3m6!1s0x95bcb77144431f89:0x8a33253b05474047!8m2!3d-34.5351343!4d-58.507138!16s%2Fg%2F11ykv7flfm!19sChIJiR9DRHG3vJURR0BHBTslM4o?authuser=0&hl=en&rclk=1","automatización industrial Buenos Aires","Gral. José de San Martín 3421, B1603 Florida Oeste, Provincia de Buenos Aires, Argentina"
"KDK-Argentina","Argentina","+541170780939","4.8","(41)","https://www.kdk-argentina.com/","https://www.google.com/maps/place/KDK-Argentina/data=!4m7!3m6!1s0x95bcb82f451cd52b:0x6a214b8b4ed4a5a4!8m2!3d-34.6001621!4d-58.5258587!16s%2Fg%2F11f03h6fsp!19sChIJK9UcRS-4vJURpKXUTotLIWo?authuser=0&hl=en&rclk=1","automatización industrial Buenos Aires","José Marin 2750, B1674 Sáenz Peña, Provincia de Buenos Aires, Argentina"
"MTA Automatizacion","Argentina","+541123610909","4.6","(8)","https://www.mta.com.ar/empresa.html","https://www.google.com/maps/place/MTA+Automatizacion/data=!4m7!3m6!1s0x95bcb72780919d4d:0x8e67fe1645536921!8m2!3d-34.5465201!4d-58.5087708!16s%2Fg%2F1tf61gsm!19sChIJTZ2RgCe3vJURIWlTRRb-Z44?authuser=0&hl=en&rclk=1","automatización industrial Buenos Aires","Gral. Juan Lavalle 4024, B1603AUR Villa Martelli, Provincia de Buenos Aires, Argentina"
"Technosystems Chile Ltda.","Chile","+56223288900","4.2","(36)","http://www.technosystems.cl/","https://www.google.com/maps/place/Technosystems+Chile+Ltda./data=!4m7!3m6!1s0x9662c5820a735f85:0xe1f163e1efaa0b35!8m2!3d-33.4422563!4d-70.6288655!16s%2Fg%2F11b7ffjsdn!19sChIJhV9zCoLFYpYRNQuq7-Fj8eE?authuser=0&hl=en&rclk=1","system integrator Santiago Chile","Av. Francisco Bilbao 268, 7500957 Providencia, Santiago, Región Metropolitana, Chile"
