name,country,domain,source_keyword,official_emails,linkedin_urls,whatsapp_urls,whatsapp_numbers,fit_score,inferred_needs,recommended_products
"Excel Automation Solutions","INDIA","excelautomationsolutions.com","SCADA","venkatesh@excelautomationsolutions.com","https://www.linkedin.com/company/excel-automation-solutions | https://www.linkedin.com/company/excel-automation-solutions-chennai | https://www.linkedin.com/in/selvarajvenkatesh | https://www.linkedin.com/in/sudeshkumar-venugopal-20410449 | https://www.linkedin.com/in/selvarajvenkatesh/ | https://www.linkedin.com/in/syed-kaleem-g-831b0126/ | https://in.linkedin.com/in/karuppiahvairavan/en | https://www.linkedin.com/profile/view?id=80861066 | https://in.linkedin.com/pub/ramesh-seenivasagam/39/220/358/en","https://wa.me/918870007000?text=Please | https://wa.me/918870007000?text=Please%20describe%20your%20question,%20We%20will%20respond%20shortly","+918870007000","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | building automation and HVAC connectivity","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Neel Smartec Co","","neelsmartec.com","IIoT","ram@neelsmartec.com | contact@neelsmartec.com | you@company.com | partnerships@neelsmartec.com","https://www.linkedin.com/compan | https://www.linkedin.com/company/neelsmartec | https://www.linkedin.com/company/neelsmartecconsulting | https://www.linkedin.com/in/uthayanelangovan | https://www.linkedin.com/in/uthayanelangovan/ | https://www.linkedin.com/company/neelsmartec/ | https://www.linkedin.com/in/john-stark-6367741/","https://wa.me/919538047356?text=Hi%20Uthayan%2C%20I%20would%20like%20to%20discuss%20PLM%20consulting | https://wa.me/919538047356","+919538047356","9.9","energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Armax Automation Pvt. Ltd","INDIA","armaxindia.com","SCADA","info@armaxindia.com","https://www.linkedin.com/company/armax-automation-pvt-limited | https://www.linkedin.com/company/armax-automation-pvt-limited/ | https://www.linkedin.com/in/jason-bhushan-14bb6b8/ | https://www.linkedin.com/in/kumaraswamy-reddy-m-ab8b4b14/","https://api.whatsapp.com/send?phone=%20+%2091 | https://api.whatsapp.com/send?phone=%20+%2091%2091483%2041999","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | energy monitoring and utility equipment communication","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Ecava Sdn. Bhd.","FRANCE","ecava.com","SCADA","","https://www.linkedin.com/company/10654576 | https://www.linkedin.com/company/ecava","https://wa.me/60380804838","+60380804838","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | building automation and HVAC connectivity","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Tlm Telemetria E Sensoriamento","BRAZIL","tlm.net.br","IIoT","contato@tlm.net.br","https://www.linkedin.com/company/tlm-telemetria-e-sensoriamento","https://api.whatsapp.com/send?phone=5541991129953","+5541991129953","9.9","system integration and industrial device networking | energy monitoring and utility equipment communication | IIoT edge integration and remote monitoring","industrial gateways and routers | ARM edge controllers | remote I/O and data acquisition devices"
"Apagroup","POLAND","apagroup.pl","Building Automation","info@apagroup.pl | biuro@apagroup.pl","https://www.linkedin.com/company/apagroup | https://www.linkedin.com/company/apagroup/posts | https://www.linkedin.com/company/apagroup/posts/?feedView=all","","","9.9","system integration and industrial device networking | building automation and HVAC connectivity | IIoT edge integration and remote monitoring","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Kieback & Peter Gmbh & Co. Kg Techn. Byro","GERMANY","kieback-peter.com","Building Automation","","https://www.linkedin.com/company/kieback&peter | https://www.linkedin.com/company/kieback&peter-belgium | https://www.linkedin.com/company/kieback-peter-schweiz-ag | https://www.linkedin.com/in/wim-heylens-4592804 | https://de.linkedin.com/company/kieback&amp;peter","","","9.9","system integration and industrial device networking | building automation and HVAC connectivity | energy monitoring and utility equipment communication","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Enocean Gmbh (Smart Building Expo)","GERMANY","enocean.com","Building Automation","","https://www.linkedin.com/company/enocean | https://www.linkedin.com/company/enocean/","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | building automation and HVAC connectivity","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"Eelectron S.P.A. (Smart Building Expo)","ITALY","eelectron.com","Building Automation","","https://www.linkedin.com/company/eelectron-spa","","","9.9","PLC/SCADA connectivity and industrial protocol conversion | system integration and industrial device networking | building automation and HVAC connectivity","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
"B.E.G. Italia Srl (Smart Building Expo)","ITALY","beg-luxomat.com","Building Automation","info@beguk.co.uk | vertrieb@beg.de | support@beg.de","https://www.linkedin.com/company/b-e-g-belgium-bv-sprl | https://www.linkedin.com/company/b-e-g-br%C3%BCck-electronic-polska-sp-z-o-o | https://www.linkedin.com/company/b-e-g-italia-s-r-l | https://www.linkedin.com/company/b.e.g. | https://www.linkedin.com/company/b.e.g.br%C3%A3%C2%BCck-electronic-b.v. | https://www.linkedin.com/company/beg-hungary | https://www.linkedin.com/company/beg-nederland | https://www.linkedin.com/company/beg-portugal | https://www.linkedin.com/company/beg-uk-ltd | https://www.linkedin.com/company/begfrance | https://www.linkedin.com/company/beghispania | https://www.linkedin.com/company/b.e.g./","","","9.9","system integration and industrial device networking | building automation and HVAC connectivity | energy monitoring and utility equipment communication","BA building automation gateways | industrial gateways and routers | ARM edge controllers"
